#id_ra	nome_ra
20;	Águas Claras
33;	Arniqueira
4;	Brazlandia
19;	Candangolandia
9;	Ceilandia
11;	Cruzeiro
31;	Fercal
2;	Gama
10;	Guará
28;	Itapoã
27;	Jardim Botanico
18;	Lago Norte
16;	Lago Sul
8;	Nucleo Bandeirante
7;	Paranoá
24;	Park Way
6;	Planaltina
1;	Plano Piloto
15;	Recanto das Emas
17;	Riacho Fundo
21;	Riacho Fundo II
12;	Samambaia
13;	Santa Maria
14;	São Sebastião
25;	Estrutural
29;	SIA
5;	Sobradinho
26;	Sobradinho II
32;	Sol Nascente e Por do Sol
22;	Sudoeste/Octogonal
3;	Taguatinga
23;	Varjão
30;	Vicente Pires
